video alpha median momentum_threshold picture_threshold objective
/mnt/21FEB03000018072.mpg 0.01 21 8000 40 7.0
/mnt/21FEB03000018072.mpg 0.08 13 2000 20 7.0
/mnt/21FEB03000018072.mpg 0.08 17 2000 20 7.0
/mnt/21FEB03000018072.mpg 0.02 21 4000 30 7.0
/mnt/21FEB03000018072.mpg 0.02 13 4000 40 7.0
/mnt/21FEB03000018072.mpg 0.02 9 4000 50 7.0
/mnt/21FEB03000018072.mpg 0.04 9 4000 30 7.0
/mnt/21FEB03000018072.mpg 0.04 9 4000 50 7.0
/mnt/21FEB03000018072.mpg 0.08 13 4000 20 7.0
/mnt/21FEB03000018072.mpg 0.08 13 4000 30 7.0
/mnt/21FEB03000018072.mpg 0.08 17 8000 30 6.0
/mnt/21FEB03000018072.mpg 0.01 9 4000 40 6.0
/mnt/21FEB03000018072.mpg 0.01 17 8000 30 6.0
/mnt/21FEB03000018072.mpg 0.01 21 8000 30 6.0
/mnt/21FEB03000018072.mpg 0.01 13 8000 40 6.0
/mnt/21FEB03000018072.mpg 0.02 17 4000 30 6.0
/mnt/21FEB03000018072.mpg 0.02 21 8000 30 6.0
/mnt/21FEB03000018072.mpg 0.02 17 8000 40 6.0
/mnt/21FEB03000018072.mpg 0.04 13 4000 30 6.0
/mnt/21FEB03000018072.mpg 0.04 9 4000 40 6.0
/mnt/21FEB03000018072.mpg 0.01 9 8000 50 6.0
/mnt/21FEB03000018072.mpg 0.01 13 8000 50 6.0
/mnt/21FEB03000018072.mpg 0.01 9 8000 60 6.0
/mnt/21FEB03000018072.mpg 0.02 13 8000 40 6.0
/mnt/21FEB03000018072.mpg 0.02 9 8000 50 6.0
/mnt/21FEB03000018072.mpg 0.02 17 8000 50 6.0
/mnt/21FEB03000018072.mpg 0.02 9 8000 60 6.0
/mnt/21FEB03000018194.mpg 0.02 13 2000 50 5.0
/mnt/21FEB03000018194.mpg 0.08 17 4000 30 5.0
/mnt/21FEB03000018072.mpg 0.01 17 2000 10 5.0
/mnt/21FEB03000018072.mpg 0.01 9 2000 10 5.0
/mnt/21FEB03000018072.mpg 0.01 13 2000 30 5.0
/mnt/21FEB03000018072.mpg 0.02 17 2000 20 5.0
/mnt/21FEB03000018072.mpg 0.02 9 4000 30 5.0
/mnt/21FEB03000018072.mpg 0.01 21 8000 60 5.0
/mnt/21FEB03000018072.mpg 0.02 9 2000 30 5.0
/mnt/21FEB03000018072.mpg 0.04 13 4000 20 5.0
/mnt/21FEB03000018072.mpg 0.01 21 8000 50 5.0
/mnt/21FEB03000018072.mpg 0.04 17 8000 20 5.0
/mnt/21FEB03000018072.mpg 0.04 13 8000 50 5.0
/mnt/21FEB03000018072.mpg 0.04 21 4000 20 5.0
/mnt/21FEB03000018072.mpg 0.04 13 4000 40 5.0
/mnt/21FEB03000018072.mpg 0.02 21 8000 40 5.0
/mnt/21FEB03000018072.mpg 0.02 13 8000 60 5.0
/mnt/21FEB03000018072.mpg 0.04 9 8000 60 5.0
/mnt/21FEB03000018072.mpg 0.02 9 2000 40 5.0
/mnt/21FEB03000018072.mpg 0.01 9 8000 40 5.0
/mnt/21FEB03000018072.mpg 0.02 17 8000 30 5.0
/mnt/21FEB03000018072.mpg 0.02 13 8000 30 5.0
/mnt/21FEB03000018072.mpg 0.02 9 8000 40 5.0
/mnt/21FEB03000018072.mpg 0.08 9 2000 20 5.0
/mnt/21FEB03000018072.mpg 0.08 9 4000 20 5.0
/mnt/21FEB03000018072.mpg 0.08 17 4000 20 5.0
/mnt/21FEB03000018072.mpg 0.04 9 8000 30 5.0
/mnt/21FEB03000018072.mpg 0.04 13 8000 30 5.0
/mnt/21FEB03000018072.mpg 0.04 9 8000 40 5.0
/mnt/21FEB03000018072.mpg 0.08 17 8000 20 5.0
/mnt/21FEB03000018072.mpg 0.08 9 8000 30 5.0
/mnt/21FEB03000018072.mpg 0.01 13 4000 30 4.5
/mnt/21FEB03000018072.mpg 0.02 17 4000 20 4.5
/mnt/21FEB03000018072.mpg 0.04 9 2000 20 4.5
/mnt/21FEB03000018072.mpg 0.08 21 4000 20 4.5
/mnt/21FEB03000018072.mpg 0.04 17 8000 30 4.5
/mnt/21FEB03000018072.mpg 0.04 13 8000 40 4.5
/mnt/21FEB03000018072.mpg 0.04 17 8000 40 4.5
/mnt/21FEB03000018072.mpg 0.08 21 4000 10 4.5
/mnt/21FEB03000018194.mpg 0.01 17 2000 50 4.0
/mnt/21FEB03000018194.mpg 0.01 17 2000 60 4.0
/mnt/21FEB03000018194.mpg 0.02 21 2000 40 4.0
/mnt/21FEB03000018194.mpg 0.02 17 2000 50 4.0
/mnt/21FEB03000018194.mpg 0.02 21 2000 50 4.0
/mnt/21FEB03000018194.mpg 0.02 17 2000 60 4.0
/mnt/21FEB03000018194.mpg 0.04 21 2000 40 4.0
/mnt/21FEB03000018194.mpg 0.04 17 2000 50 4.0
/mnt/21FEB03000018194.mpg 0.04 13 2000 60 4.0
/mnt/21FEB03000018194.mpg 0.04 17 2000 60 4.0
/mnt/21FEB03000018194.mpg 0.08 21 2000 30 4.0
/mnt/21FEB03000018194.mpg 0.08 13 2000 50 4.0
/mnt/21FEB03000018194.mpg 0.08 17 2000 50 4.0
/mnt/21FEB03000018194.mpg 0.08 13 2000 60 4.0
/mnt/21FEB03000018194.mpg 0.01 17 4000 50 4.0
/mnt/21FEB03000018194.mpg 0.01 13 4000 60 4.0
/mnt/21FEB03000018194.mpg 0.01 17 4000 60 4.0
/mnt/21FEB03000018194.mpg 0.02 17 4000 40 4.0
/mnt/21FEB03000018194.mpg 0.02 21 4000 40 4.0
/mnt/21FEB03000018194.mpg 0.02 13 4000 50 4.0
/mnt/21FEB03000018194.mpg 0.02 13 4000 60 4.0
/mnt/21FEB03000018194.mpg 0.02 17 4000 60 4.0
/mnt/21FEB03000018194.mpg 0.04 21 4000 30 4.0
/mnt/21FEB03000018194.mpg 0.04 21 4000 40 4.0
/mnt/21FEB03000018194.mpg 0.04 17 4000 50 4.0
/mnt/21FEB03000018194.mpg 0.08 21 4000 30 4.0
/mnt/21FEB03000018194.mpg 0.08 17 4000 40 4.0
/mnt/21FEB03000018194.mpg 0.08 13 4000 50 4.0
/mnt/21FEB03000018194.mpg 0.01 13 2000 60 4.0
/mnt/21FEB03000018194.mpg 0.02 17 2000 40 4.0
/mnt/21FEB03000018194.mpg 0.02 13 2000 60 4.0
/mnt/21FEB03000018194.mpg 0.04 17 2000 40 4.0
/mnt/21FEB03000018194.mpg 0.08 17 2000 40 4.0
/mnt/21FEB03000018194.mpg 0.04 17 4000 30 4.0
/mnt/21FEB03000018072.mpg 0.01 13 8000 10 4.0
/mnt/21FEB03000018072.mpg 0.01 13 4000 10 4.0
/mnt/21FEB03000018072.mpg 0.01 13 2000 10 4.0
/mnt/21FEB03000018072.mpg 0.02 9 4000 10 4.0
/mnt/21FEB03000018072.mpg 0.02 9 2000 10 4.0
/mnt/21FEB03000018072.mpg 0.02 13 2000 20 4.0
/mnt/21FEB03000018072.mpg 0.01 13 8000 30 4.0
/mnt/21FEB03000018072.mpg 0.08 21 8000 30 4.0
/mnt/21FEB03000018072.mpg 0.02 21 8000 50 4.0
/mnt/21FEB03000018072.mpg 0.02 17 8000 20 4.0
/mnt/21FEB03000018072.mpg 0.02 9 8000 30 4.0
/mnt/21FEB03000018072.mpg 0.04 17 8000 50 4.0
/mnt/21FEB03000018072.mpg 0.04 13 8000 20 4.0
/mnt/21FEB03000018072.mpg 0.08 13 8000 40 4.0
/mnt/21FEB03000018072.mpg 0.04 21 8000 20 4.0
/mnt/21FEB03000018072.mpg 0.04 21 8000 30 4.0
/mnt/21FEB03000018072.mpg 0.08 9 8000 20 4.0
/mnt/21FEB03000018072.mpg 0.08 13 8000 20 4.0
/mnt/21FEB03000018072.mpg 0.01 9 4000 30 4.0
/mnt/21FEB03000018072.mpg 0.01 17 2000 20 4.0
/mnt/21FEB03000018072.mpg 0.01 9 2000 30 4.0
/mnt/21FEB03000018072.mpg 0.04 9 4000 20 3.5
/mnt/21FEB03000018072.mpg 0.04 9 8000 50 3.5
/mnt/21FEB03000018072.mpg 0.08 21 8000 20 3.5
/mnt/21FEB03000018072.mpg 0.08 13 8000 30 3.5
/mnt/21FEB03000018072.mpg 0.08 9 8000 40 3.5
/mnt/21FEB03000018072.mpg 0.08 21 4000 60 3.33
/mnt/21FEB03000018072.mpg 0.08 17 4000 60 3.33
/mnt/21FEB03000018072.mpg 0.08 13 2000 10 3.33
/mnt/21FEB03000018072.mpg 0.08 17 8000 50 3.33
/mnt/21FEB03000018072.mpg 0.08 13 8000 60 3.33
/mnt/21FEB03000018124.mpg 0.04 13 8000 20 3.33
/mnt/21FEB03000018124.mpg 0.08 13 8000 20 3.33
/mnt/21FEB03000018194.mpg 0.08 17 2000 60 3.0
/mnt/21FEB03000018194.mpg 0.01 21 2000 50 3.0
/mnt/21FEB03000018194.mpg 0.01 21 2000 60 3.0
/mnt/21FEB03000018194.mpg 0.02 21 2000 60 3.0
/mnt/21FEB03000018194.mpg 0.04 21 2000 50 3.0
/mnt/21FEB03000018194.mpg 0.08 21 2000 40 3.0
/mnt/21FEB03000018194.mpg 0.01 21 4000 50 3.0
/mnt/21FEB03000018194.mpg 0.01 21 4000 60 3.0
/mnt/21FEB03000018194.mpg 0.02 17 4000 50 3.0
/mnt/21FEB03000018194.mpg 0.02 21 4000 50 3.0
/mnt/21FEB03000018194.mpg 0.04 13 4000 50 3.0
/mnt/21FEB03000018194.mpg 0.04 21 4000 50 3.0
/mnt/21FEB03000018194.mpg 0.04 13 4000 60 3.0
/mnt/21FEB03000018194.mpg 0.04 17 4000 60 3.0
/mnt/21FEB03000018194.mpg 0.08 21 4000 40 3.0
/mnt/21FEB03000018194.mpg 0.08 17 4000 50 3.0
/mnt/21FEB03000018194.mpg 0.08 13 4000 60 3.0
/mnt/21FEB03000018194.mpg 0.01 17 8000 40 3.0
/mnt/21FEB03000018194.mpg 0.01 21 8000 40 3.0
/mnt/21FEB03000018194.mpg 0.01 13 8000 50 3.0
/mnt/21FEB03000018194.mpg 0.01 17 8000 50 3.0
/mnt/21FEB03000018194.mpg 0.01 13 8000 60 3.0
/mnt/21FEB03000018194.mpg 0.01 17 8000 60 3.0
/mnt/21FEB03000018194.mpg 0.02 17 8000 30 3.0
/mnt/21FEB03000018194.mpg 0.02 21 8000 30 3.0
/mnt/21FEB03000018194.mpg 0.02 17 8000 40 3.0
/mnt/21FEB03000018194.mpg 0.02 21 8000 40 3.0
/mnt/21FEB03000018194.mpg 0.02 13 8000 50 3.0
/mnt/21FEB03000018194.mpg 0.02 9 8000 60 3.0
/mnt/21FEB03000018194.mpg 0.04 17 8000 30 3.0
/mnt/21FEB03000018194.mpg 0.04 21 8000 30 3.0
/mnt/21FEB03000018194.mpg 0.04 13 8000 40 3.0
/mnt/21FEB03000018194.mpg 0.04 17 8000 40 3.0
/mnt/21FEB03000018194.mpg 0.04 21 8000 40 3.0
/mnt/21FEB03000018194.mpg 0.04 17 8000 50 3.0
/mnt/21FEB03000018194.mpg 0.04 9 8000 60 3.0
/mnt/21FEB03000018194.mpg 0.08 21 8000 20 3.0
/mnt/21FEB03000018194.mpg 0.08 17 8000 30 3.0
/mnt/21FEB03000018194.mpg 0.08 21 8000 30 3.0
/mnt/21FEB03000018194.mpg 0.08 13 8000 50 3.0
/mnt/21FEB03000018194.mpg 0.04 13 2000 50 3.0
/mnt/21FEB03000018194.mpg 0.04 17 4000 40 3.0
/mnt/21FEB03000018072.mpg 0.04 21 8000 60 3.0
/mnt/21FEB03000018072.mpg 0.01 21 4000 10 3.0
/mnt/21FEB03000018072.mpg 0.01 9 8000 30 3.0
/mnt/21FEB03000018264.mpg 0.02 17 2000 40 3.0
/mnt/21FEB03000018072.mpg 0.01 17 4000 10 3.0
/mnt/21FEB03000018072.mpg 0.01 21 2000 10 3.0
/mnt/21FEB03000018124.mpg 0.08 21 8000 60 3.0
/mnt/21FEB03000018124.mpg 0.02 13 2000 20 3.0
/mnt/21FEB03000018072.mpg 0.01 21 2000 20 3.0
/mnt/21FEB03000018072.mpg 0.01 9 4000 10 3.0
/mnt/21FEB03000018072.mpg 0.04 9 8000 20 3.0
/mnt/21FEB03000018072.mpg 0.02 9 2000 20 2.67
/mnt/21FEB03000018072.mpg 0.08 13 4000 10 2.67
/mnt/21FEB03000018072.mpg 0.08 21 8000 50 2.67
/mnt/21FEB03000018072.mpg 0.08 21 8000 10 2.67
/mnt/21FEB03000018072.mpg 0.02 17 8000 60 2.67
/mnt/21FEB03000018194.mpg 0.01 17 2000 40 2.5
/mnt/21FEB03000018194.mpg 0.01 13 2000 50 2.5
/mnt/21FEB03000018194.mpg 0.01 17 4000 40 2.5
/mnt/21FEB03000018194.mpg 0.01 21 4000 40 2.5
/mnt/21FEB03000018194.mpg 0.01 13 4000 50 2.5
/mnt/21FEB03000018194.mpg 0.01 9 8000 60 2.5
/mnt/21FEB03000018194.mpg 0.01 21 2000 40 2.5
/mnt/21FEB03000018194.mpg 0.02 9 4000 60 2.5
/mnt/21FEB03000018264.mpg 0.01 21 8000 20 2.5
/mnt/21FEB03000018072.mpg 0.08 17 8000 10 2.5
/mnt/21FEB03000018124.mpg 0.02 13 4000 20 2.5
/mnt/21FEB03000018124.mpg 0.08 9 4000 20 2.5
/mnt/21FEB03000018194.mpg 0.08 13 4000 40 2.5
/mnt/21FEB03000018072.mpg 0.01 17 4000 20 2.5
/mnt/21FEB03000018264.mpg 0.01 17 4000 40 2.5
/mnt/21FEB03000018264.mpg 0.04 13 4000 50 2.5
/mnt/21FEB03000018264.mpg 0.04 13 8000 40 2.5
/mnt/21FEB03000018264.mpg 0.04 21 2000 30 2.5
/mnt/21FEB03000018264.mpg 0.08 21 2000 30 2.5
/mnt/21FEB03000018264.mpg 0.04 21 8000 20 2.5
/mnt/21FEB03000018264.mpg 0.01 17 8000 30 2.5
/mnt/21FEB03000018072.mpg 0.01 21 4000 20 2.5
/mnt/21FEB03000018072.mpg 0.02 13 4000 20 2.5
/mnt/21FEB03000018194.mpg 0.04 9 2000 60 2.5
/mnt/21FEB03000018194.mpg 0.01 9 8000 50 2.5
/mnt/21FEB03000018194.mpg 0.08 17 2000 30 2.33
/mnt/21FEB03000018264.mpg 0.08 17 4000 30 2.33
/mnt/21FEB03000018072.mpg 0.08 17 8000 60 2.33
/mnt/21FEB03000018264.mpg 0.04 17 4000 30 2.33
/mnt/21FEB03000018264.mpg 0.08 13 2000 40 2.33
/mnt/21FEB03000018072.mpg 0.08 13 8000 10 2.25
/mnt/21FEB03000018124.mpg 0.02 13 8000 20 2.25
/mnt/21FEB03000018124.mpg 0.08 9 8000 20 2.25
/mnt/21FEB03000018072.mpg 0.04 17 8000 10 2.0
/mnt/21FEB03000018194.mpg 0.04 21 2000 30 2.0
/mnt/21FEB03000018194.mpg 0.08 21 4000 50 2.0
/mnt/21FEB03000018194.mpg 0.02 13 8000 40 2.0
/mnt/21FEB03000018194.mpg 0.08 13 8000 40 2.0
/mnt/21FEB03000018194.mpg 0.08 9 8000 60 2.0
/mnt/21FEB03000018194.mpg 0.08 21 2000 50 2.0
/mnt/21FEB03000018194.mpg 0.02 21 4000 30 2.0
/mnt/21FEB03000018194.mpg 0.08 17 4000 60 2.0
/mnt/21FEB03000018194.mpg 0.04 21 4000 60 2.0
/mnt/21FEB03000018194.mpg 0.01 21 8000 60 2.0
/mnt/21FEB03000018194.mpg 0.02 21 8000 60 2.0
/mnt/21FEB03000018194.mpg 0.04 17 8000 60 2.0
/mnt/21FEB03000018194.mpg 0.08 17 8000 50 2.0
/mnt/21FEB03000018072.mpg 0.02 13 4000 10 2.0
/mnt/21FEB03000018072.mpg 0.01 9 2000 20 2.0
/mnt/21FEB03000018194.mpg 0.04 21 2000 60 2.0
/mnt/21FEB03000018194.mpg 0.02 21 4000 60 2.0
/mnt/21FEB03000018194.mpg 0.01 21 8000 50 2.0
/mnt/21FEB03000018194.mpg 0.02 17 8000 50 2.0
/mnt/21FEB03000018194.mpg 0.02 21 8000 50 2.0
/mnt/21FEB03000018194.mpg 0.02 13 8000 60 2.0
/mnt/21FEB03000018194.mpg 0.02 17 8000 60 2.0
/mnt/21FEB03000018194.mpg 0.04 21 8000 20 2.0
/mnt/21FEB03000018194.mpg 0.04 13 8000 50 2.0
/mnt/21FEB03000018194.mpg 0.04 21 8000 50 2.0
/mnt/21FEB03000018194.mpg 0.04 13 8000 60 2.0
/mnt/21FEB03000018194.mpg 0.08 17 8000 40 2.0
/mnt/21FEB03000018194.mpg 0.08 21 8000 40 2.0
/mnt/21FEB03000018194.mpg 0.08 13 8000 60 2.0
/mnt/21FEB03000018194.mpg 0.08 9 4000 60 2.0
/mnt/21FEB03000018194.mpg 0.08 9 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 17 2000 40 2.0
/mnt/21FEB03000018072.mpg 0.01 21 8000 20 2.0
/mnt/21FEB03000018264.mpg 0.08 17 2000 30 2.0
/mnt/21FEB03000018264.mpg 0.01 13 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.04 13 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.02 21 4000 30 2.0
/mnt/21FEB03000018264.mpg 0.02 21 8000 20 2.0
/mnt/21FEB03000018264.mpg 0.01 9 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.02 13 4000 40 2.0
/mnt/21FEB03000018072.mpg 0.08 21 8000 60 2.0
/mnt/21FEB03000018072.mpg 0.02 9 4000 20 2.0
/mnt/21FEB03000018072.mpg 0.01 17 8000 20 2.0
/mnt/21FEB03000018072.mpg 0.04 9 4000 10 2.0
/mnt/21FEB03000018264.mpg 0.04 21 8000 60 2.0
/mnt/21FEB03000018072.mpg 0.04 9 2000 10 2.0
/mnt/21FEB03000018264.mpg 0.04 17 8000 60 2.0
/mnt/21FEB03000018072.mpg 0.02 17 2000 10 2.0
/mnt/21FEB03000018264.mpg 0.04 21 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.02 21 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.04 21 4000 50 2.0
/mnt/21FEB03000018264.mpg 0.04 17 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.04 21 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 17 8000 50 2.0
/mnt/21FEB03000018264.mpg 0.01 21 8000 50 2.0
/mnt/21FEB03000018264.mpg 0.01 9 8000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 13 8000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 17 8000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 21 8000 60 2.0
/mnt/21FEB03000018264.mpg 0.02 21 8000 40 2.0
/mnt/21FEB03000018264.mpg 0.02 17 8000 50 2.0
/mnt/21FEB03000018264.mpg 0.02 21 8000 50 2.0
/mnt/21FEB03000018264.mpg 0.02 13 8000 60 2.0
/mnt/21FEB03000018264.mpg 0.02 17 8000 60 2.0
/mnt/21FEB03000018264.mpg 0.04 21 8000 40 2.0
/mnt/21FEB03000018264.mpg 0.04 17 8000 50 2.0
/mnt/21FEB03000018264.mpg 0.04 21 8000 50 2.0
/mnt/21FEB03000018264.mpg 0.04 13 8000 60 2.0
/mnt/21FEB03000018264.mpg 0.08 17 8000 50 2.0
/mnt/21FEB03000018264.mpg 0.08 9 8000 60 2.0
/mnt/21FEB03000018264.mpg 0.08 13 8000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 21 2000 40 2.0
/mnt/21FEB03000018264.mpg 0.01 17 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.01 21 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.01 13 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 17 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 21 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.02 21 2000 40 2.0
/mnt/21FEB03000018264.mpg 0.02 17 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.02 21 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.02 13 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.02 17 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.02 21 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.04 21 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.04 17 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.08 21 2000 40 2.0
/mnt/21FEB03000018264.mpg 0.08 21 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.08 17 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.08 21 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 21 4000 40 2.0
/mnt/21FEB03000018264.mpg 0.01 17 4000 50 2.0
/mnt/21FEB03000018264.mpg 0.01 21 4000 50 2.0
/mnt/21FEB03000018264.mpg 0.01 13 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 17 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 21 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.02 17 4000 40 2.0
/mnt/21FEB03000018264.mpg 0.02 21 4000 40 2.0
/mnt/21FEB03000018264.mpg 0.02 17 4000 50 2.0
/mnt/21FEB03000018264.mpg 0.02 21 4000 50 2.0
/mnt/21FEB03000018264.mpg 0.02 13 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.02 17 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.04 17 4000 40 2.0
/mnt/21FEB03000018264.mpg 0.04 21 4000 40 2.0
/mnt/21FEB03000018264.mpg 0.04 17 4000 50 2.0
/mnt/21FEB03000018264.mpg 0.04 13 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.08 21 4000 40 2.0
/mnt/21FEB03000018264.mpg 0.08 13 4000 50 2.0
/mnt/21FEB03000018264.mpg 0.08 17 4000 50 2.0
/mnt/21FEB03000018264.mpg 0.08 21 4000 50 2.0
/mnt/21FEB03000018264.mpg 0.08 13 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.08 17 4000 60 2.0
/mnt/21FEB03000018264.mpg 0.01 21 8000 30 2.0
/mnt/21FEB03000018264.mpg 0.01 17 8000 40 2.0
/mnt/21FEB03000018264.mpg 0.01 21 8000 40 2.0
/mnt/21FEB03000018264.mpg 0.01 13 8000 50 2.0
/mnt/21FEB03000018264.mpg 0.02 17 8000 30 2.0
/mnt/21FEB03000018264.mpg 0.02 21 8000 30 2.0
/mnt/21FEB03000018264.mpg 0.02 17 8000 40 2.0
/mnt/21FEB03000018264.mpg 0.02 13 8000 50 2.0
/mnt/21FEB03000018264.mpg 0.04 17 8000 30 2.0
/mnt/21FEB03000018264.mpg 0.04 21 8000 30 2.0
/mnt/21FEB03000018264.mpg 0.04 17 8000 40 2.0
/mnt/21FEB03000018264.mpg 0.04 13 8000 50 2.0
/mnt/21FEB03000018264.mpg 0.08 17 8000 30 2.0
/mnt/21FEB03000018264.mpg 0.08 21 8000 30 2.0
/mnt/21FEB03000018264.mpg 0.08 13 8000 40 2.0
/mnt/21FEB03000018264.mpg 0.08 17 8000 40 2.0
/mnt/21FEB03000018264.mpg 0.08 21 8000 40 2.0
/mnt/21FEB03000018264.mpg 0.08 13 8000 50 2.0
/mnt/21FEB03000018072.mpg 0.01 17 8000 10 2.0
/mnt/21FEB03000018264.mpg 0.04 17 2000 40 2.0
/mnt/21FEB03000018264.mpg 0.04 21 2000 40 2.0
/mnt/21FEB03000018264.mpg 0.04 17 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.04 13 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.08 17 2000 40 2.0
/mnt/21FEB03000018264.mpg 0.08 13 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.08 17 2000 50 2.0
/mnt/21FEB03000018264.mpg 0.08 13 2000 60 2.0
/mnt/21FEB03000018264.mpg 0.04 21 4000 30 2.0
/mnt/21FEB03000018264.mpg 0.08 21 4000 30 2.0
/mnt/21FEB03000018264.mpg 0.08 17 4000 40 2.0
/mnt/21FEB03000018072.mpg 0.01 9 8000 10 2.0
/mnt/21FEB03000018072.mpg 0.02 9 8000 10 2.0
/mnt/21FEB03000018264.mpg 0.08 21 8000 20 2.0
/mnt/21FEB03000018072.mpg 0.02 13 8000 20 2.0
/mnt/21FEB03000018264.mpg 0.08 17 8000 20 2.0
/mnt/21FEB03000018264.mpg 0.08 21 8000 60 2.0
/mnt/21FEB03000018124.mpg 0.01 13 4000 20 1.8
/mnt/21FEB03000018194.mpg 0.02 9 2000 60 1.8
/mnt/21FEB03000018264.mpg 0.02 21 2000 30 1.8
/mnt/21FEB03000018264.mpg 0.01 21 4000 30 1.8
/mnt/21FEB03000018194.mpg 0.04 17 2000 30 1.75
